Sample,Description
GSM8198801,Disease Liver R33-3
GSM8198802,Disease Liver R33-4
GSM8198803,Disease Liver R33-5
GSM8198804,Disease Liver R33-6
GSM8198805,Disease Liver R37-1
GSM8198806,Disease Liver R37-2
GSM8198807,Disease Liver R37-3
GSM8198808,Disease Liver R37-4
GSM8198809,Disease Liver R43-10
GSM8198810,Disease Liver R43-1
GSM8198811,Disease Liver R43-2
GSM8198812,Disease Liver R43-3
GSM8198813,Disease Liver R43-4
GSM8198814,Disease Liver R43-5
GSM8198815,Disease Liver R43-6
GSM8198816,Disease Liver R43-7
GSM8198817,Disease Liver R43-8
GSM8198818,Disease Liver R43-9
GSM8198819,Disease Liver R47-10
GSM8198820,Disease Liver R47-1
GSM8198821,Disease Liver R47-3
GSM8198822,Disease Liver R47-4
GSM8198823,Disease Liver R47-5
GSM8198824,Disease Liver R47-6
GSM8198825,Disease Liver R47-7
GSM8198826,Disease Liver R47-8
GSM8198827,Disease Liver R47-9
GSM8198828,Disease Liver R55-10
GSM8198829,Disease Liver R55-11
GSM8198830,Disease Liver R55-12
GSM8198831,Disease Liver R55-13
GSM8198832,Disease Liver R55-14
GSM8198833,Disease Liver R55-15
GSM8198834,Disease Liver R55-16
GSM8198835,Disease Liver R55-17
GSM8198836,Disease Liver R55-1
GSM8198837,Disease Liver R55-2
GSM8198838,Disease Liver R55-3
GSM8198839,Disease Liver R55-4
GSM8198840,Disease Liver R55-5
GSM8198841,Disease Liver R55-6
GSM8198842,Disease Liver R55-7
GSM8198843,Disease Liver R55-8
GSM8198844,Disease Liver R55-9
GSM8198845,Disease Liver R56-1
GSM8198846,Disease Liver R56-3
GSM8198847,Disease Liver R56-4
GSM8198848,Disease Liver R56-5
GSM8198849,Disease Liver R56-6
GSM8198850,Disease Liver R56-7
GSM8198851,Disease Liver R56-8
GSM8198852,Disease Liver R6-1
GSM8198853,Disease Liver R6-2
GSM8198854,Disease Liver R6-3
GSM8198855,Disease Liver R6-4
GSM8198856,Disease Liver R6-5
GSM8198857,Disease Liver R6-6
GSM8198858,Disease Liver R8-10
GSM8198859,Disease Liver R8-11
GSM8198860,Disease Liver R8-1
GSM8198861,Disease Liver R8-2
GSM8198862,Disease Liver R8-3
GSM8198863,Disease Liver R8-4
GSM8198864,Disease Liver R8-5
GSM8198865,Disease Liver R8-6
GSM8198866,Disease Liver R8-7
GSM8198867,Disease Liver R8-8
GSM8198868,Disease Liver R8-9
