TNFRSF1A
EGFR
ESR1
TSHR
MUSK
AR
RAPSN
ERBB2
CCR5
LEPR
VDR
TLR4
CXCR4
INSR
NR3C1
IGF1R
PGR
TLR2
PPARG
IL2RA
RYR2
GHR
LDLR
FGFR1
FAS
ESR2
DRD2
KDR
FGFR2
GHSR
TLR3
IL1RN
RORC
CHRNE
MC1R
PDGFRB
NR1H2
AGTR1
EPOR
MC4R
HTR1A
SRC
HTR2A
TFRC
IL6R
FGFR3
LHCGR
TGFBR1
OPRM1
TGFBR2
IL4R
CASR
MET
PDGFRA
IFNGR1
CHRNB1
NTRK1
FCGR3A
LRP1
IL1R1
F2R
IL36RN
FLT1
KIT
PTPN11
CNR1
THRB
CCR2
IL2RG
NR3C2
CXCR1
IRS1
AHR
PPARA
NTRK2
TLR9
IL2RB
CX3CR1
RARA
CXCR3
IL12RB1
NR1I2
PTPRC
TNFRSF1B
DRD4
IL7R
ERBB4
FCGR2A
GRB2
CXCR2
F2RL1
TRAF6
IFNGR2
RYR1
FSHR
ERBB3
RXRA
DRD3
CCR3
TNFRSF10B
GNRHR
EDNRA
CALCRL
DRD1
TACR1
P2RY12
IL18R1
PLAUR
ADORA2A
EDNRB
CSF1R
CHRND
AGER
NGFR
GRIN1
IFNAR1
GRIN2B
NCOA1
CCR7
TLR7
NR1H4
PTH1R
CCR1
FCGR2B
BMPR2
KIR3DL1
HTR3A
P2RX7
GRK2
HTR2C
TNFRSF10A
GRIN2A
FLT4
IFNAR2
RIPK1
TBXA2R
NOTCH1
AVPR2
NR1I3
GRM1
CSF3R
TNFRSF11B
IRAK4
MC2R
GABBR1
OXTR
ACVRL1
C5AR1
NTRK3
SCARB1
TLR1
GLP1R
ADORA1
TRAF2
THRA
OPRD1
CR1
CHRNA7
RARB
EPHA2
ITPR1
TEK
OPRK1
HRH1
IGF2R
ZAP70
CALCR
BMPR1A
AGTR2
HTR1B
TRPV1
CCR4
TRAF3
IRAK1
TACR3
PTGER4
ALK
CCKBR
MPL
CHRM3
FPR1
CNR2
ACVR1
KISS1R
AXL
PTPN6
GRIA1
NR1H3
TLR5
CHRM2
PPARD
FOLR1
S1PR1
PRLR
CCKAR
NCOA3
FPR2
CRHR1
NR4A1
GPER1
FGFR4
LRP2
IL10RB
SSTR2
IRS2
P2RY1
CR2
NCOA2
PTGER2
GABRG2
GRIA2
BDKRB2
RAMP1
EPHB4
IL1RAPL2
ESRRB
GRIK2
LIFR
ACKR3
FLT3
ACKR1
TACR2
TLR6
NCOR2
FCGR3B
VIPR1
PTGER3
GHRHR
CCR6
IL10RA
RAMP2
NR5A1
CHRNA1
FCGR1A
NR0B1
CCR8
BMPR1B
NCOR1
OLR1
NR4A2
CHRM1
RORA
P2RY2
P2RX1
TNFRSF11A
TNFRSF4
GABRA1
ACVR2B
GABRB3
GRM5
SIGMAR1
LRP5
PTPN1
VLDLR
OPRL1
ACVR1B
EPHA3
HRH2
APLNR
CHRNA4
LRPAP1
TNFRSF13C
TRB
