STAT3
JUN
STAT1
SP1
MYC
NFE2L2
RUNX1
FOS
E2F1
RUNX2
TCF7L2
TFAP2A
WT1
YY1
MITF
ATF4
GTF2B
ATF2
SOX2
SOX9
STAT5B
HSF1
TFAM
RB1
KLF4
SP3
TCF4
TCF3
REST
RUNX3
STAT2
ATF6
JUNB
ETS1
E2F4
JUND
GTF2F1
SOX10
TFE3
ETV6
TWIST1
ATF3
USF1
SREBF1
KLF5
GTF2H1
STAT5A
TEAD1
GTF2H4
GTF3A
GTF2H2
GTF2F2
TBX1
GTF2H5
TFAP2B
TFDP1
MYB
ATF1
E2F3
MAF
BRF1
NFE2L1
NFYA
GTF2A1
HES1
TCF12
ELK1
TCF7
TFAP2C
STAT4
ELF1
GTF2H3
E2F2
ELF3
SNAI2
KLF2
TBX21
FLI1
UBTF
TFEB
STAT6
ATF6B
TBX5
E2F5
TCEA1
GTF2A2
GABPA
TEAD4
FOSL1
MYCN
SP7
KLF6
SOX3
MAFB
GTF3C1
SREBF2
NFYB
GTF2I
GTF2E1
BCL6
ELF4
TFDP2
GTF2E2
TTF2
GFI1
KLF1
ERG
BPTF
DEAF1
NFYC
TAL1
USF2
BRF2
E2F6
ASCL1
ETS2
FOSL2
ETV4
MTF1
SOX4
TFCP2
EBF1
TBX3
E2F7
OLIG2
FOSB
ETV7
ETV1
LMX1B
GTF3C5
BATF
MBTPS1
HEY2
KLF7
GTF3C4
ATF5
SIN3A
YAP1
TBX20
TEAD3
TBX2
KLF9
ELF5
MYT1L
BDP1
PTF1A
HSF4
GTF3C2
TBXT
MAFG
TCEA2
MRTFA
E2F8
SOX5
KLF10
BCL11B
TFAP2D
SPIB
GTF3C3
SPDEF
KLF11
ATF7
TBX19
SOX11
ELF2
HEY1
TTF1
NFE2L3
TBX4
MAFK
HLTF
MBTPS2
SOX17
TCF20
TRRAP
TFAP4
TCF7L1
SP4
KLF13
TEAD2
HSF2
GABPB1
SALL4
SALL1
ATF7IP
TCF21
BATF3
GTF2A1L
TCEA3
ETV5
TFEC
RRN3
KLF8
E4F1
KLF15
SUPT6H
DMTF1
ASCL2
TFAP2E
TBX6
HBP1
EBF3
MTERF1
SOX18
TCF19
SP2
TCF15
KLF12
GTF3C6
SOX6
TFCP2L1
TCERG1
TRPS1
BTF3
CREBZF
KLF3
MAFA
TFB2M
DMRT1
SOX8
WWTR1
GCM1
HLF
SNAI1
GFI1B
TFB1M
SIM2
TWIST2
KLF16
BCL11A
LMX1A
TBX15
SOX1
TEF
OLIG1
TCEAL1
HEYL
NFX1
MAFF
SIM1
MYT1
TCFL5
HES6
HES5
MTF2
GRHL2
BATF2
BCLAF1
SOX13
SOX7
TBX22
ELK4
TFDP3
SP5
YY2
AFF4
GCM2
SOX15
HINFP
EBF2
GRHL3
FEV
TBX18
ATOH1
SP8
LZTFL1
ATOH8
RUNX1T1
ELK3
DACH1
ATOH7
HELT
SP6
SPIC
GRHL1
HES7
KLF17
TCF23
SOX12
DMRT2
UTF1
AFF1
HES2
SP9
AATF
FIGLA
RTRAF
DBP
DMRT3
SALL2
TBR1
HSFY1
SOX30
MRTFB
BCL3
CARF
MESP2
SOX21
SOX14
SCX
AKNA
HES4
TEFM
TBX10
KLF14
ETV3
AHCTF1
FERD3L
HSF5
ATF7IP2
TCEAL7
NFXL1
ASCL3
POU5F2
HES3
HSFY2
CNOT1
MESP1
MYPOP
DR1
CRTC1
ASCL5
TCEAL4
CNOT7
PHTF1
OSR1
OLIG3
ABT1
TRERF1
CNOT2
BTF3L4
TCF24
TCEAL5
GABPB2
SUB1
MTERF2
ETV2
TUB
TCEAL3
TCEAL8
ST18
RBL1
AFF2
SIN3B
TCEANC
ASCL4
HSF2BP
SALL3
MYCL
DACH2
TCEAL6
MTERF3
AFF3
CNOT3
HSFX1
TCEAL2
MTRES1
TCEANC2
ENY2
TCEAL9
